",""COD.IBGE7"",""REGIÃO"",""UF"",""PORTE"",""MUNICÍPIO"",""falha em educaçãoo"",""ANO_FALHA"",""tempofalha"",""serv_esta_med"",""serv_per_cap_med"",""Conselho edu criação"",""idad_Conselho edu"",""Falha_ant_Consel"",""soma contratos"",""NEP"",""Ideologia"",""Arrec_Prop"",""PIBpercapita"",""IDHM"",""tm"",""PERCENT_ganhador"",""TaxadeUrbanizaÁ„o"",""Sul"",""centro_Oeste"",""Sudeste"",""Nordeste"",""Norte"",""POP"",""LN_POP"",""RM"""
"1,""1100015"",""1 - Nort"",""11"",""4 - 20001 atÈ 50000"",""Alta Floresta D'Oeste"",""0"",""2012"",""12"",""0.7837530025"","" 30.190915"",""-"","" 0"",""1"","" 4"",""1.806305"",""6.74"",""  59.844340"","" 12236.9700"",""0.641"",""0.24316084"",""0.553616"",""0.561000"",""0"",""0"",""0"",""0"",""1"",""  25009"",""10.126991"",""0"""
"2,""1100023"",""1 - Nort"",""11"",""5 - 50001 atÈ 100000"",""Ariquemes"",""0"",""2012"",""12"",""0.8327556570"","" 22.931372"",""-"","" 0"",""1"",""17"",""1.383402"",""6.12"","" 172.533504"","" 11883.9000"",""0.702"",""0.25013805"",""0.727887"",""0.772000"",""0"",""0"",""0"",""0"",""1"",""  70956"",""11.169815"",""0"""
"3,""1100031"",""1 - Nort"",""11"",""2 - 5001 atÈ 10000"",""Cabixi"",""0"",""2012"",""12"",""0.6628185505"","" 38.533281"",""-"","" 0"",""1"","" 1"",""1.813818"",""6.69"",""  33.909150"","" 12598.6500"",""0.650"",""0.24001218"",""0.551323"",""0.387000"",""0"",""0"",""0"",""0"",""1"",""   7759"","" 8.956609"",""0"""
"4,""1100049"",""1 - Nort"",""11"",""5 - 50001 atÈ 100000"",""Cacoal"",""0"",""2012"",""12"",""0.7082821965"","" 22.793985"",""-"","" 0"",""1"","" 5"",""1.680081"",""3.83"","" 108.196011"","" 11819.5600"",""0.718"",""0.25479372"",""0.607477"",""0.767000"",""0"",""0"",""0"",""0"",""1"",""  73724"",""11.208084"",""0"""
"5,""1100056"",""1 - Nort"",""11"",""3 - 10001 atÈ 20000"",""Cerejeiras"",""0"",""2012"",""12"",""0.8169897031"","" 30.665024"",""-"","" 0"",""1"","" 3"",""1.303022"",""6.12"",""  85.902043"","" 12712.2400"",""0.775"",""0.25096886"",""0.767447"",""0.837000"",""0"",""0"",""0"",""0"",""1"",""  19033"","" 9.853930"",""0"""
"6,""1100064"",""1 - Nort"",""11"",""3 - 10001 atÈ 20000"",""Colorado do Oeste"",""0"",""2012"",""12"",""0.7346753534"","" 29.591792"",""2007"","" 5"",""0"","" 4"",""1.824355"",""7.88"",""  69.132769"","" 10346.0100"",""0.583"",""0.28747812"",""0.548139"",""0.714000"",""0"",""0"",""0"",""0"",""1"",""  24629"",""10.111680"",""0"""
"7,""1100072"",""1 - Nort"",""11"",""2 - 5001 atÈ 10000"",""Corumbiara"",""0"",""2012"",""12"",""0.8465916483"","" 35.976220"",""2008"","" 4"",""0"","" 0"",""1.043217"",""6.80"",""  45.074166"","" 14149.3400"",""0.780"",""0.21424813"",""0.958573"",""0.255000"",""0"",""0"",""0"",""0"",""1"",""  10264"","" 9.236398"",""0"""
"8,""1100080"",""1 - Nort"",""11"",""3 - 10001 atÈ 20000"",""Costa Marques"",""0"",""2012"",""12"",""0.8174698081"","" 36.655372"",""2014"","" 0"",""1"","" 3"",""2.251164"",""6.69"",""  15.735346"",""  7389.2700"",""0.706"",""0.39226498"",""0.473141"",""0.528000"",""0"",""0"",""0"",""0"",""1"",""   8524"","" 9.050641"",""0"""
"9,""1100098"",""1 - Nort"",""11"",""4 - 20001 atÈ 50000"",""Espig„o D'Oeste"",""0"",""2012"",""12"",""0.7180525848"","" 24.857974"",""-"","" 0"",""1"","" 5"",""1.882697"",""6.12"","" 128.980887"","" 10294.0400"",""0.627"",""0.26804296"",""0.562780"",""0.695000"",""0"",""0"",""0"",""0"",""1"",""  24329"",""10.099424"",""0"""
"10,""1100106"",""1 - Nort"",""11"",""4 - 20001 atÈ 50000"",""Guajar·-Mirim"",""1"",""2003"","" 3"",""0.7613329957"","" 19.275544"",""-"","" 0"",""1"","" 1"",""2.796487"",""5.75"",""  36.694358"",""  3225.7657"",""0.333"",""0.34569994"",""0.409880"",""0.868000"",""0"",""0"",""0"",""0"",""1"",""  37734"",""10.538317"",""0"""
"11,""1100114"",""1 - Nort"",""11"",""5 - 50001 atÈ 100000"",""Jaru"",""0"",""2012"",""12"",""0.7065650044"","" 29.206384"",""2006"","" 6"",""0"",""14"",""2.876107"",""6.12"","" 163.323716"","" 11947.3800"",""0.757"",""0.23585147"",""0.402467"",""0.665000"",""0"",""0"",""0"",""0"",""1"",""  47779"",""10.774341"",""0"""
"12,""1100122"",""1 - Nort"",""11"",""6 - 100001 atÈ 500000"",""Ji-Paran·"",""0"",""2012"",""12"",""0.8289146160"","" 22.734041"",""2007"","" 5"",""0"",""23"",""1.595469"",""8.02"","" 182.529062"","" 12239.1000"",""0.553"",""0.22566902"",""0.626775"",""0.880000"",""0"",""0"",""0"",""0"",""1"",""  94639"",""11.457825"",""0"""
"13,""1100130"",""1 - Nort"",""11"",""4 - 20001 atÈ 50000"",""Machadinho D'Oeste"",""0"",""2012"",""12"",""0.7355744329"","" 29.987657"",""2013"","" 0"",""1"","" 6"",""2.797772"",""3.78"","" 149.759833"",""  9248.1000"",""0.715"",""0.31796597"",""0.386723"",""0.520000"",""0"",""0"",""0"",""0"",""1"",""  26122"",""10.170533"",""0"""
"14,""1100148"",""1 - Nort"",""11"",""3 - 10001 atÈ 20000"",""Nova Brasil‚ndia D'Oeste"",""0"",""2012"",""12"",""0.8070365392"","" 31.361573"",""-"","" 0"",""1"","" 4"",""1.911146"",""3.55"",""  98.020897"","" 10113.9300"",""0.778"",""0.30351602"",""0.523246"",""0.466000"",""0"",""0"",""0"",""0"",""1"",""  15335"","" 9.637893"",""0"""
"15,""1100155"",""1 - Nort"",""11"",""4 - 20001 atÈ 50000"",""Ouro Preto do Oeste"",""0"",""2012"",""12"",""0.8087134365"","" 30.701510"",""2007"","" 5"",""0"","" 8"",""1.487533"",""6.74"","" 190.955522"","" 10267.1100"",""0.614"",""0.28789368"",""0.695877"",""0.720000"",""0"",""0"",""0"",""0"",""1"",""  40581"",""10.611055"",""0"""
"16,""1100189"",""1 - Nort"",""11"",""4 - 20001 atÈ 50000"",""Pimenta Bueno"",""0"",""2012"",""12"",""0.4153175592"","" 27.495264"",""2007"","" 5"",""0"","" 5"",""2.313872"",""6.12"","" 150.747136"","" 11463.7200"",""0.566"",""0.23191779"",""0.461136"",""0.852000"",""0"",""0"",""0"",""0"",""1"",""  31819"",""10.367819"",""0"""
"17,""1100205"",""1 - Nort"",""11"",""6 - 100001 atÈ 500000"",""Porto Velho"",""1"",""2005"","" 5"",""0.8484975354"","" 19.103381"",""-"","" 0"",""1"",""22"",""4.974266"",""2.27"","" 184.025166"","" 10106.8306"",""0.544"",""0.21077626"",""0.320281"",""0.823696"",""0"",""0"",""0"",""0"",""1"","" 299894"",""12.611184"",""0"""
"18,""1100254"",""1 - Nort"",""11"",""4 - 20001 atÈ 50000"",""Presidente MÈdici"",""0"",""2012"",""12"",""0.7703104519"","" 27.581403"",""-"","" 0"",""1"","" 8"",""2.786790"",""6.12"",""  63.477111"",""  9497.7800"",""0.664"",""0.29982374"",""0.369973"",""0.585000"",""0"",""0"",""0"",""0"",""1"",""  28717"",""10.265245"",""0"""
"19,""1100262"",""1 - Nort"",""11"",""1 - AtÈ 5000"",""Rio Crespo"",""0"",""2012"",""12"",""0.8179622124"","" 65.324890"",""-"","" 0"",""1"","" 2"",""2.721190"",""6.74"",""  44.607186"","" 17227.0300"",""0.608"",""0.21206743"",""0.381956"",""0.307000"",""0"",""0"",""0"",""0"",""1"",""   4431"","" 8.396381"",""0"""
"20,""1100288"",""1 - Nort"",""11"",""5 - 50001 atÈ 100000"",""Rolim de Moura"",""0"",""2012"",""12"",""0.8248186090"","" 24.392785"",""-"","" 0"",""1"","" 3"",""1.532820"",""6.12"","" 166.812897"","" 10541.3300"",""0.708"",""0.26797676"",""0.652393"",""0.799000"",""0"",""0"",""0"",""0"",""1"",""  43848"",""10.688484"",""0"""
"21,""1100296"",""1 - Nort"",""11"",""2 - 5001 atÈ 10000"",""Santa Luzia D'Oeste"",""0"",""2012"",""12"",""0.7694303161"","" 34.420534"",""2009"","" 3"",""0"","" 1"",""2.402974"",""6.74"",""  56.175162"","" 11519.3300"",""0.599"",""0.25637531"",""0.441491"",""0.486000"",""0"",""0"",""0"",""0"",""1"",""  10995"","" 9.305196"",""0"""
"22,""1100304"",""1 - Nort"",""11"",""5 - 50001 atÈ 100000"",""Vilhena"",""0"",""2012"",""12"",""0.7348574060"","" 30.042166"",""-"","" 0"",""1"","" 9"",""1.921238"",""7.88"","" 193.711810"","" 16218.7800"",""0.731"",""0.19302171"",""0.536642"",""0.949000"",""0"",""0"",""0"",""0"",""1"",""  44010"",""10.692172"",""0"""
